Project,Package,Class,Method,Smell,Description,Method start line no,File
jimfs,com.google.common.jimfs,Configuration,Configuration,Long Statement,The length of the statement "this.attributeProviders=builder.attributeProviders == null ? ImmutableSet.<AttributeProvider>of() : ImmutableSet.copyOf(builder.attributeProviders);" is 148.,248,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,Configuration,Configuration,Long Statement,The length of the statement "this.defaultAttributeValues=builder.defaultAttributeValues == null ? ImmutableMap.<String`Object>of() : ImmutableMap.copyOf(builder.defaultAttributeValues);" is 156.,248,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,Configuration,toString,Complex Method,Cyclomatic complexity of the method is 9,274,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,Configuration,toString,Long Statement,The length of the statement "MoreObjects.ToStringHelper helper=MoreObjects.toStringHelper(this).add("pathType"`pathType).add("roots"`roots).add("supportedFeatures"`supportedFeatures).add("workingDirectory"`workingDirectory);" is 195.,274,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,Configuration,toString,Long Statement,The length of the statement "helper.add("pathEqualityUsesCanonicalForm"`pathEqualityUsesCanonicalForm).add("blockSize"`blockSize).add("maxSize"`maxSize);" is 124.,274,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Configuration.java
jimfs,com.google.common.jimfs,WindowsPathType,parsePath,Complex Method,Cyclomatic complexity of the method is 9,58,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,parsePath,Long Statement,The length of the statement "throw new InvalidPathException(original`"Jimfs does not currently support the Windows syntax for a relative path " + "on a specific drive (e.g. \"C:foo\\bar\")");" is 162.,58,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,parsePath,Long Statement,The length of the statement "throw new InvalidPathException(original`"Jimfs does not currently support the Windows syntax for an absolute path " + "on the current drive (e.g. \"\\foo\\bar\")");" is 164.,58,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,parsePath,Magic Number,The method contains a magic number: 3,58,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,parseUncRoot,Magic Number,The method contains a magic number: 2,110,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,parseUncRoot,Magic Number,The method contains a magic number: 3,110,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,isReserved,Complex Method,Cyclomatic complexity of the method is 8,145,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,WindowsPathType,isReserved,Magic Number,The method contains a magic number: 31,145,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/WindowsPathType.java
jimfs,com.google.common.jimfs,UserDefinedAttributeProvider,set,Long Parameter List,The method has 5 parameters. ,82,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/UserDefinedAttributeProvider.java
jimfs,com.google.common.jimfs,Handler,register,Long Identifier,The length of the field JAVA_PROTOCOL_HANDLER_PACKAGES is 30.,55,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/Handler.java
jimfs,com.google.common.jimfs,JimfsSecureDirectoryStream,newDirectoryStream,Long Statement,The length of the statement "return (SecureDirectoryStream<Path>)view.newDirectoryStream(checkedPath`ALWAYS_TRUE_FILTER`Options.getLinkOptions(options)`path().resolve(checkedPath));" is 152.,126,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/main/java/com/google/common/jimfs/JimfsSecureDirectoryStream.java
jimfs,com.google.common.jimfs,AbstractAttributeProviderTest,assertSetFails,Empty catch clause,The method has an empty catch block.,118,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/AbstractAttributeProviderTest.java
jimfs,com.google.common.jimfs,AbstractAttributeProviderTest,assertSetFailsOnCreate,Empty catch clause,The method has an empty catch block.,127,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/AbstractAttributeProviderTest.java
jimfs,com.google.common.jimfs,FakeFileTimeSource,randomize,Long Statement,The length of the statement "now=Instant.ofEpochSecond(random.longs(Instant.MIN.getEpochSecond()`Instant.MAX.getEpochSecond()).findAny().getAsLong()`random.nextInt(1_000_000_000));" is 151.,35,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/FakeFileTimeSource.java
jimfs,com.google.common.jimfs,FakeFileTimeSource,randomize,Magic Number,The method contains a magic number: 1_000_000_000,35,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/FakeFileTimeSource.java
jimfs,com.google.common.jimfs,TestAttributeProvider,set,Long Parameter List,The method has 5 parameters. ,69,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestAttributeProvider.java
jimfs,com.google.common.jimfs,TestUtils,permutations,Complex Conditional,The conditional expression fileName != null && !fileName.toString().equals(".") && !fileName.toString().equals("..") is complex.,83,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestUtils.java
jimfs,com.google.common.jimfs,TestUtils,permutations,Complex Method,Cyclomatic complexity of the method is 8,83,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestUtils.java
jimfs,com.google.common.jimfs,TestUtils,regularFile,Magic Number,The method contains a magic number: 8096,135,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestUtils.java
jimfs,com.google.common.jimfs,TestUtils,regularFile,Magic Number,The method contains a magic number: 1000,135,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestUtils.java
jimfs,com.google.common.jimfs,TestUtils,regularFile,Magic Number,The method contains a magic number: 1000,135,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/TestUtils.java
jimfs,com.google.common.jimfs,RegularFileTest,apply,Long Statement,The length of the statement "return method.getName().startsWith("test") && Modifier.isPublic(method.getModifiers()) && method.getParameterTypes().length == 0;" is 129.,91,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/RegularFileTest.java
jimfs,com.google.common.jimfs,AbstractPathMatcherTest,assertSyntaxError,Empty catch clause,The method has an empty catch block.,56,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/AbstractPathMatcherTest.java
jimfs,com.google.common.jimfs,AbstractPathMatcherTest,assertSyntaxError,Empty catch clause,The method has an empty catch block.,56,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/AbstractPathMatcherTest.java
jimfs,com.google.common.jimfs,AbstractPathMatcherTest,fake,Long Statement,The length of the statement "@Override public WatchKey register( WatchService watcher` WatchEvent.Kind<?>[] events` WatchEvent.Modifier... modifiers) throws IOException {" is 141.,119,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/AbstractPathMatcherTest.java
jimfs,com.google.common.jimfs,PathTester,testParents,Complex Conditional,The conditional expression (root != null && names.size() >= 1) || names.size() > 1 is complex.,112,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathTester.java
jimfs,com.google.common.jimfs,PathTester,testSubpaths,Long Statement,The length of the statement "List<String> endNames=ImmutableList.copyOf(Splitter.on('/').split(stringWithoutRoot)).subList(0`path.getNameCount() - 1);" is 121.,128,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathTester.java
jimfs,com.google.common.jimfs,PathSubject,hasChildren,Long Statement,The length of the statement "failWithoutActual(fact("expected to have children"`expectedNames)`fact("but had children"`actualNames)`fact("for path"`actual));" is 128.,286,/data/henrique/multiagent_refactoring/project/data/repositories/jimfs/jimfs/src/test/java/com/google/common/jimfs/PathSubject.java
