Project,Package,Class,Method,Smell,Description,Method start line no,File
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Long Statement,The length of the statement "return ((data[offset + 0] & 0xff) << 0) + ((data[offset + 1] & 0xff) << 8) + ((data[offset + 2] & 0xff) << 16)+ ((data[offset + 3] & 0xff) << 24);" is 146.,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 8,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 2,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 16,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 3,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 24,111,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 8,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 16,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 0xff,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedInteger,Magic Number,The method contains a magic number: 24,127,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedLong,Magic Number,The method contains a magic number: 4,142,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedLong,Magic Number,The method contains a magic number: 32,142,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedLong,Magic Number,The method contains a magic number: 0xffffffffL,142,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedLong,Magic Number,The method contains a magic number: 8,157,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedLong,Magic Number,The method contains a magic number: 8,157,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 0xff,172,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 0xff,172,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 8,172,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 0xff,185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 0xff,185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedShort,Magic Number,The method contains a magic number: 8,185,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 8,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 2,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 0xff,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
commons-io,org.apache.commons.io,EndianUtils,readSwappedUnsignedInteger,Magic Number,The method contains a magic number: 16,196,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java
