Project,Package,Class,Method,Smell,Description,File
commons-io,org.apache.commons.io,FileUtilsFileNewerTest,testIsFileNewer,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation),/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileUtilsFileNewerTest.java
commons-io,org.apache.commons.io,FileUtilsFileNewerTest,testIsFileNewerImaginaryFile,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileUtilsFileNewerTest.java
commons-io,org.apache.commons.io,FileUtilsFileNewerTest,testIsFileNewerImaginaryFile,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation),/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/FileUtilsFileNewerTest.java
commons-io,org.apache.commons.io,ThreadMonitorTest,testCompletedWithoutTimeout,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/ThreadMonitorTest.java
commons-io,org.apache.commons.io,ThreadMonitorTest,testNoTimeoutMinus1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/ThreadMonitorTest.java
commons-io,org.apache.commons.io,ThreadMonitorTest,testNoTimeoutMinus1,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/ThreadMonitorTest.java
commons-io,org.apache.commons.io,ThreadMonitorTest,testNoTimeoutZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/ThreadMonitorTest.java
commons-io,org.apache.commons.io,ThreadMonitorTest,testNoTimeoutZero,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/ThreadMonitorTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_byteArrayOutputStreamToInputStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
commons-io,org.apache.commons.io,IOUtilsCopyTest,testCopy_inputStreamToOutputStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4,/data/henrique/multiagent_refactoring/project/data/repositories/commons-io/src/test/java/org/apache/commons/io/IOUtilsCopyTest.java
