Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io,FileDeleteStrategy,FileDeleteStrategy,3,1,1,81,0,,
commons-io,org.apache.commons.io,FileDeleteStrategy,delete,5,2,1,90,0,org.apache.commons.io.FileDeleteStrategy,org.apache.commons.io.FileDeleteStrategy
commons-io,org.apache.commons.io,FileDeleteStrategy,deleteQuietly,11,2,1,107,0,org.apache.commons.io.FileDeleteStrategy,org.apache.commons.io.FileDeleteStrategy
commons-io,org.apache.commons.io,FileDeleteStrategy,doDelete,4,1,1,129,0,org.apache.commons.io.FileUtils,org.apache.commons.io.FileUtils
commons-io,org.apache.commons.io,FileDeleteStrategy,toString,3,1,0,152,0,,
commons-io,org.apache.commons.io,ByteBuffers,littleEndian,3,1,1,32,0,,
commons-io,org.apache.commons.io,ByteBuffers,littleEndian,3,1,1,46,0,,
commons-io,org.apache.commons.io,ByteBuffers,littleEndian,3,1,1,56,0,,
commons-io,org.apache.commons.io,ByteBuffers,ByteBuffers,2,1,0,71,0,,
commons-io,org.apache.commons.io,ByteOrderMark,ByteOrderMark,12,3,2,128,0,,
commons-io,org.apache.commons.io,ByteOrderMark,equals,15,5,1,149,0,org.apache.commons.io.ByteOrderMark,org.apache.commons.io.ByteOrderMark
commons-io,org.apache.commons.io,ByteOrderMark,get,3,1,1,173,0,,
commons-io,org.apache.commons.io,ByteOrderMark,getBytes,7,2,0,183,0,org.apache.commons.io.IOUtils,org.apache.commons.io.IOUtils
commons-io,org.apache.commons.io,ByteOrderMark,getCharsetName,3,1,0,196,0,,
commons-io,org.apache.commons.io,ByteOrderMark,getRawBytes,3,1,0,205,0,,
commons-io,org.apache.commons.io,ByteOrderMark,hashCode,7,2,0,209,0,,
commons-io,org.apache.commons.io,ByteOrderMark,length,3,1,0,224,0,,
commons-io,org.apache.commons.io,ByteOrderMark,matches,18,6,1,233,0,,
commons-io,org.apache.commons.io,ByteOrderMark,toString,16,3,0,260,0,,
commons-io,org.apache.commons.io,ByteOrderParser,parseByteOrder,9,3,1,29,0,,
commons-io,org.apache.commons.io,ByteOrderParser,ByteOrderParser,2,1,0,60,0,,
commons-io,org.apache.commons.io,Charsets,isAlias,3,1,2,159,0,,
commons-io,org.apache.commons.io,Charsets,isUTF8,3,1,1,171,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,Charsets,isUTF8Alias,3,1,1,182,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,Charsets,requiredCharsets,3,1,0,192,0,,
commons-io,org.apache.commons.io,Charsets,toCharset,3,1,1,208,0,,
commons-io,org.apache.commons.io,Charsets,toCharset,3,1,2,220,0,,
commons-io,org.apache.commons.io,Charsets,toCharset,3,1,1,232,0,,
commons-io,org.apache.commons.io,Charsets,toCharset,3,1,2,244,0,,
commons-io,org.apache.commons.io,Charsets,toCharsetDefault,8,1,2,257,0,org.apache.commons.io.Charsets,org.apache.commons.io.Charsets
commons-io,org.apache.commons.io,Charsets,Charsets,2,1,0,277,0,,
commons-io,org.apache.commons.io,DirectoryWalker,DirectoryWalker,3,1,0,325,0,,
commons-io,org.apache.commons.io,DirectoryWalker,DirectoryWalker,4,1,2,332,0,,
commons-io,org.apache.commons.io,DirectoryWalker,DirectoryWalker,13,2,3,350,0,org.apache.commons.io.filefilter.FileFilterUtils,org.apache.commons.io.filefilter.FileFilterUtils; org.apache.commons.io.filefilter.IOFileFilter
commons-io,org.apache.commons.io,DirectoryWalker,checkIfCancelled,5,2,3,378,0,org.apache.commons.io.DirectoryWalker,org.apache.commons.io.DirectoryWalker
commons-io,org.apache.commons.io,DirectoryWalker,filterDirectoryContents,3,1,3,400,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleCancelled,3,1,3,419,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleDirectory,3,1,3,439,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleDirectoryEnd,2,1,3,463,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleDirectoryStart,2,1,3,480,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleEnd,2,1,1,497,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleFile,2,1,3,511,0,,
commons-io,org.apache.commons.io,DirectoryWalker,handleIsCancelled,3,1,3,527,0,,
