Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jsoup,org.jsoup.nodes,EntitiesData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: xmlPoints; basePoints; fullPoints
jsoup,org.jsoup.nodes,DocumentType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PUBLIC_KEY; SYSTEM_KEY; NameKey; PubSysKey; PublicId; SystemId
jsoup,org.jsoup.nodes,DocumentType,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LeafNode
jsoup,org.jsoup.nodes,Range.Position,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: pos; lineNumber; columnNumber
jsoup,org.jsoup.nodes,Range.Position,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Range.AttributeRange,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: UntrackedAttr; nameRange; valueRange
jsoup,org.jsoup.nodes,Range.AttributeRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Element,Feature Envy,The tool detected a instance of this smell because elementIs is more interested in members of the type: Tag
jsoup,org.jsoup.nodes,Element,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: DataNode; Comment; CDataNode in method data
jsoup,org.jsoup.nodes,Element,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: Document
jsoup,org.jsoup.nodes,Element,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: DataNode; Comment; CDataNode in method data
jsoup,org.jsoup.nodes,Element,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 133 public methods
jsoup,org.jsoup.nodes,Element,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: HtmlToPlainText; Safelist; Cleaner; Cleaner.CleaningVisitor; Cleaner.ElementMeta; SafelistTest; CleanerTest; LeafNode; Document; NodeUtils; FormElement; Printer; Node; ElementTest; FormElementTest; NodeTest; NodeIteratorTest; DocumentTest; LeafNodeTest; TextNodeTest; AttributesTest; DataNodeTest; EntitiesTest; PrinterTest; ElementIT; W3CDom; W3CDom.W3CBuilder; W3CDomTest; Elements; Selector; Evaluator; Collector; StructuralEvaluator; NodeEvaluator; EvaluatorDebug; EvaluatorTest; SelectorTest; QueryParserTest; TraversorTest; XpathTest; ElementsTest; Parser; StreamParser; StreamParser.ElementIterator; TreeBuilder; HtmlTreeBuilder; XmlTreeBuilder; ParserIT; PositionTest; XmlTreeBuilderTest; HtmlParserTest; HtmlTreeBuilderTest; TokeniserTest; TokeniserStateTest; TagSetTest; AttributeParseTest; StreamParserTest; ParseTest; ConnectTest; ConnectIT; ProxyTest. Outgoing dependencies: Tag; Attributes; StringUtil; Validate; Parser; NodeUtils; Attribute; Elements; Node; Selector; Evaluator; Collector; Nodes; TextNode; Document; TokenQueue; Normalizer; Regex; DataNode; Comment; CDataNode; Range; QuietAppendable; Printer; NodeVisitor; NodeFilter; ParseSettings
jsoup,org.jsoup.nodes,Element.TextAccumulator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: accum
jsoup,org.jsoup.nodes,Element.TextAccumulator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Element.NodeList,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: validChildren
jsoup,org.jsoup.nodes,Element.NodeList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,PseudoTextElement,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,PseudoTextElement,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Element
jsoup,org.jsoup.nodes,Document,Feature Envy,The tool detected a instance of this smell because createElement is more interested in members of the type: Parser
jsoup,org.jsoup.nodes,Document,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: DocumentType; LeafNode in method documentType
jsoup,org.jsoup.nodes,Document,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: DocumentType; LeafNode in method documentType
jsoup,org.jsoup.nodes,Document,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
jsoup,org.jsoup.nodes,Document.OutputSettings,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jsoup,org.jsoup.nodes,Document.OutputSettings,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: escapeMode; charset; prettyPrint; outline; indentAmount; maxPaddingWidth; syntax
jsoup,org.jsoup.nodes,Document.Syntax,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
