Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jsoup,org.jsoup.nodes,Attributes.EntrySet,0,0,0,0,11,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,638
jsoup,org.jsoup.nodes,Attributes.DatasetIterator,2,0,0,0,17,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Attributes.java,655
jsoup,org.jsoup.nodes,NodeIterator,6,0,8,6,84,21,0,0,0.25,2,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/NodeIterator.java,9
jsoup,org.jsoup.nodes,EntitiesData,3,0,0,0,13,0,0,0,-1.0,2,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/EntitiesData.java,3
jsoup,org.jsoup.nodes,LeafNode,1,0,21,12,89,25,5,1,0.38095238095238093,5,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/LeafNode.java,9
jsoup,org.jsoup.nodes,CDataNode,0,0,5,4,24,5,0,3,-1.0,7,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/CDataNode.java,5
jsoup,org.jsoup.nodes,DocumentType,6,2,9,6,73,17,0,2,0.2222222222222222,8,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/DocumentType.java,10
jsoup,org.jsoup.nodes,Range,10,0,11,10,202,16,0,0,0.0,11,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Range.java,9
jsoup,org.jsoup.nodes,Range.Position,3,0,0,0,64,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Range.java,127
jsoup,org.jsoup.nodes,Range.AttributeRange,3,0,0,0,41,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Range.java,207
jsoup,org.jsoup.nodes,Element,11,0,157,133,1571,241,3,1,0.34394904458598724,61,27,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Element.java,45
jsoup,org.jsoup.nodes,Element.TextAccumulator,1,0,0,0,23,0,0,1,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Element.java,1558
jsoup,org.jsoup.nodes,Element.NodeList,1,0,0,0,18,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Element.java,2078
jsoup,org.jsoup.nodes,PseudoTextElement,0,0,3,1,13,3,0,2,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/PseudoTextElement.java,6
jsoup,org.jsoup.nodes,Document,13,0,31,27,447,51,0,2,0.3548387096774194,86,15,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Document.java,21
jsoup,org.jsoup.nodes,Document.OutputSettings,7,0,0,0,157,0,0,0,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Document.java,331
jsoup,org.jsoup.nodes,Document.Syntax,0,0,0,0,4,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Document.java,335
jsoup,org.jsoup.nodes,Document.QuirksMode,0,0,0,0,1,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Document.java,548
jsoup,org.jsoup.nodes,DataNode,0,0,6,5,46,9,0,2,-1.0,8,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/DataNode.java,5
jsoup,org.jsoup.nodes,NodeUtils,0,0,5,0,43,5,0,0,-1.0,3,7,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/NodeUtils.java,16
jsoup,org.jsoup.nodes,FormElement,2,0,7,6,96,20,0,2,0.42857142857142855,6,12,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/FormElement.java,18
jsoup,org.jsoup.nodes,Printer,5,0,9,2,176,14,1,1,0.0,2,9,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Printer.java,10
jsoup,org.jsoup.nodes,Printer.Pretty,2,0,0,0,113,0,0,2,-1.0,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Printer.java,57
jsoup,org.jsoup.nodes,Printer.Outline,0,0,0,0,18,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Printer.java,213
jsoup,org.jsoup.nodes,Entities,18,0,25,8,0,66,0,0,0.16,17,7,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Entities.java,21
jsoup,org.jsoup.nodes,Entities.EscapeMode,4,0,0,0,32,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Entities.java,42
jsoup,org.jsoup.nodes,Entities.CoreCharset,0,0,0,0,6,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Entities.java,361
jsoup,org.jsoup.nodes,XmlDeclaration,1,0,9,6,65,12,0,2,0.7777777777777778,9,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/XmlDeclaration.java,7
jsoup,org.jsoup.nodes,TextNode,0,0,14,10,92,15,1,2,-1.0,14,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/TextNode.java,8
jsoup,org.jsoup.nodes,Comment,0,0,9,7,57,10,0,2,-1.0,9,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Comment.java,9
jsoup,org.jsoup.nodes,Node,4,0,79,59,766,139,2,0,0.22784810126582278,32,12,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/nodes/Node.java,21
jsoup,org.jsoup.nodes,ElementTest,1,0,236,150,2376,253,0,0,0.961864406779661,0,21,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/ElementTest.java,39
jsoup,org.jsoup.nodes,FormElementTest,0,0,14,13,142,14,0,0,-1.0,0,11,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/FormElementTest.java,19
jsoup,org.jsoup.nodes,NodeTest,0,0,41,30,392,47,0,0,-1.0,0,9,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/NodeTest.java,15
jsoup,org.jsoup.nodes,BuildEntities,5,0,3,1,81,8,0,0,0.6666666666666666,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/BuildEntities.java,16
jsoup,org.jsoup.nodes,BuildEntities.CharacterRef,3,0,0,0,8,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/BuildEntities.java,87
jsoup,org.jsoup.nodes,BuildEntities.ByCode,0,0,0,0,15,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/BuildEntities.java,106
jsoup,org.jsoup.nodes,NodeIteratorTest,1,0,16,1,209,39,0,0,0.125,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/NodeIteratorTest.java,11
jsoup,org.jsoup.nodes,DocumentTypeTest,0,0,8,5,65,8,0,0,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/DocumentTypeTest.java,10
jsoup,org.jsoup.nodes,NodeStreamTest,1,0,6,0,40,6,0,0,0.3333333333333333,0,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/NodeStreamTest.java,13
jsoup,org.jsoup.nodes,DocumentTest,2,0,39,33,369,41,0,0,0.6923076923076923,0,13,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/DocumentTest.java,22
jsoup,org.jsoup.nodes,LeafNodeTest,0,0,4,3,51,6,0,0,-1.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/LeafNodeTest.java,10
jsoup,org.jsoup.nodes,AttributeTest,0,0,12,9,90,12,0,0,-1.0,0,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/AttributeTest.java,11
jsoup,org.jsoup.nodes,TextNodeTest,0,0,16,10,179,20,0,0,-1.0,0,8,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/TextNodeTest.java,14
jsoup,org.jsoup.nodes,AttributesTest,0,0,25,20,326,33,0,0,-1.0,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/AttributesTest.java,14
jsoup,org.jsoup.nodes,DataNodeTest,0,0,8,7,53,8,0,0,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/DataNodeTest.java,8
jsoup,org.jsoup.nodes,CommentTest,2,0,8,7,51,8,0,0,0.375,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/CommentTest.java,8
jsoup,org.jsoup.nodes,EntitiesTest,0,0,21,19,149,21,0,0,-1.0,0,5,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/EntitiesTest.java,12
jsoup,org.jsoup.nodes,PrinterTest,0,0,7,0,60,7,0,0,-1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/PrinterTest.java,13
jsoup,org.jsoup.nodes,ElementIT,1,0,8,3,179,21,0,0,1.0,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/ElementIT.java,14
jsoup,org.jsoup.nodes,ElementIT.TemplateMerger,1,0,0,0,12,0,0,0,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/test/java/org/jsoup/nodes/ElementIT.java,148
jsoup,org.jsoup.helper,RequestDispatch,1,0,1,0,29,3,0,0,0.0,1,2,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/RequestDispatch.java,11
jsoup,org.jsoup.helper,CookieUtil,4,0,5,0,78,17,0,0,0.6,0,4,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/CookieUtil.java,23
jsoup,org.jsoup.helper,RequestAuthenticator,3,0,1,0,68,1,0,0,-1.0,7,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/RequestAuthenticator.java,10
jsoup,org.jsoup.helper,RequestAuthenticator.Context,3,0,0,0,57,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/RequestAuthenticator.java,26
jsoup,org.jsoup.helper,W3CDom,12,2,18,16,343,28,0,0,0.4444444444444444,3,6,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/W3CDom.java,44
jsoup,org.jsoup.helper,W3CDom.W3CBuilder,6,0,0,0,102,0,0,1,-1.0,0,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/W3CDom.java,341
jsoup,org.jsoup.helper,UrlConnectionExecutor,1,0,6,0,86,20,0,1,0.5,0,3,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/UrlConnectionExecutor.java,18
jsoup,org.jsoup.helper,AuthenticationHandler,5,0,3,1,63,6,0,0,0.6666666666666666,5,1,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/AuthenticationHandler.java,9
jsoup,org.jsoup.helper,AuthenticationHandler.AuthShim,0,0,0,0,5,0,0,0,-1.0,0,0,/data/henrique/multiagent_refactoring/project/data/repositories/jsoup/src/main/java/org/jsoup/helper/AuthenticationHandler.java,61
