Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testSpecificationTitle,3,1,0,18,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testSpecificationVersion,3,1,0,23,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testSpecificationVendor,3,1,0,28,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testImplementationTitle,3,1,0,33,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testImplementationVersion,3,1,0,38,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testImplementationVendor,3,1,0,43,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testSealBase,3,1,0,48,1,,
byte-buddy,net.bytebuddy.dynamic.loading,PackageDefinitionStrategyTypeTrivialTest,testIsCompatibleTo,3,1,0,53,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderSynchronizationStrategyTest,testInitialize,3,1,0,22,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderSynchronizationStrategyTest,testLegacyVm,3,1,0,28,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,ByteArrayClassLoaderTest,4,1,2,61,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,data,3,1,0,66,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,setUp,12,1,0,74,0,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy,net.bytebuddy.dynamic.loading.PackageDefinitionStrategy; net.bytebuddy.dynamic.loading.ClassFilePostProcessor
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,answer,3,1,1,92,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testLoading,6,1,0,98,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testPackageDefinition,14,1,0,106,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceStreamLookupBeforeLoading,11,2,0,123,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceStreamLookupAfterLoading,12,2,0,135,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceLookupBeforeLoading,3,1,0,148,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceLookupAfterLoading,4,1,0,155,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourcesLookupBeforeLoading,8,2,0,163,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourcesLookupAfterLoading,9,2,0,173,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceLookupWithPrefixBeforeLoading,3,1,0,184,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourceLookupWithPrefixAfterLoading,4,1,0,191,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourcesLookupWithPrefixBeforeLoading,8,2,0,199,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testResourcesLookupWithPrefixAfterLoading,9,2,0,209,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testNotFoundException,3,1,0,220,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testPackage,4,1,0,226,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testInjection,3,1,0,232,1,net.bytebuddy.dynamic.loading.InjectionClassLoader,net.bytebuddy.dynamic.loading.InjectionClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testDuplicateInjection,4,1,0,237,1,net.bytebuddy.dynamic.loading.InjectionClassLoader,net.bytebuddy.dynamic.loading.InjectionClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,ByteArrayClassLoaderTest,testPredefinedInjection,4,1,0,243,1,net.bytebuddy.dynamic.loading.InjectionClassLoader,net.bytebuddy.dynamic.loading.InjectionClassLoader
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,setUp,3,1,0,27,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,testJnaInjection,4,1,0,32,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,testJnaInjectionWithProtectionDomain,5,1,0,41,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,testAvailability,5,1,0,51,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,testUnavailableThrowsException,3,1,0,59,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingJnaTest,testHelperMethods,5,1,0,64,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingInstrumentationTest,setUp,3,1,0,35,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingInstrumentationTest,testBootstrapInjection,9,1,0,40,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.dynamic.loading.ClassInjector; net.bytebuddy.agent.ByteBuddyAgent; net.bytebuddy.utility.RandomString
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingInstrumentationTest,testSystemInjection,9,1,0,54,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.dynamic.loading.ClassInjector; net.bytebuddy.agent.ByteBuddyAgent; net.bytebuddy.utility.RandomString
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingInstrumentationTest,testAvailable,4,1,0,68,1,net.bytebuddy.dynamic.loading.ClassInjector,net.bytebuddy.dynamic.loading.ClassInjector; net.bytebuddy.agent.ByteBuddyAgent
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForBootstrapInjectionTest,setUp,3,1,0,41,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForBootstrapInjectionTest,testBootstrapInjection,9,1,0,46,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.agent.ByteBuddyAgent; net.bytebuddy.utility.RandomString
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyForBootstrapInjectionTest,testClassLoaderInjection,10,1,0,58,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.agent.ByteBuddyAgent; net.bytebuddy.utility.RandomString
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyUsingLookupTest,setUp,4,1,0,33,0,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyUsingLookupTest,testInjection,7,1,0,39,1,net.bytebuddy.dynamic.loading.ClassInjector,net.bytebuddy.dynamic.loading.ClassInjector
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyUsingLookupTest,testFallback,8,1,0,51,1,net.bytebuddy.utility.JavaType,net.bytebuddy.utility.JavaType
byte-buddy,net.bytebuddy.dynamic.loading,ClassLoadingStrategyUsingLookupTest,call,3,1,0,54,0,net.bytebuddy.utility.JavaType,net.bytebuddy.utility.JavaType
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,setUp,3,1,0,32,0,net.bytebuddy.implementation.MethodCall,net.bytebuddy.implementation.MethodCall
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testIsAvailable,3,1,0,44,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testLookupType,3,1,0,50,1,,
byte-buddy,net.bytebuddy.dynamic.loading,ClassInjectorUsingLookupTest,testLookupInjection,5,1,0,56,1,net.bytebuddy.dynamic.DynamicType,net.bytebuddy.dynamic.DynamicType; net.bytebuddy.dynamic.loading.ClassInjector
