project,smell,prompt_file,context_size,is_large
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_FrameTranslator.txt,14655,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_HandleTranslator.txt,14655,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_LabelArrayTranslator.txt,14656,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_LabelTranslator.txt,14655,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_NullCheckedConstruction.txt,14656,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_ClassVisitorFactory_TypePathTranslator.txt,14656,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension.txt,3374,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension_AttributeAppendingMethodVisitor.txt,3378,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension_FieldAttributeVisitor.txt,3377,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension_ForField.txt,3376,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberAttributeExtension_ForMethod.txt,3376,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberRemoval.txt,2101,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberRemoval_MemberRemovingClassVisitor.txt,2105,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution.txt,73354,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_AbstractBase.txt,73356,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Access.txt,73355,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Binding.txt,73355,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_BootstrapArgumentResolver.txt,73359,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Bound.txt,73356,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Chain.txt,73356,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Compound.txt,73356,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Dispatcher.txt,73356,
byte-buddy,Insufficient Modularization,data/processed/prompts/insufficient_modularization/byte-buddy/net_bytebuddy_asm_MemberSubstitution_Factory.txt,73355,
